idx,x,y,yaw,kappa
0,620.405388,1633.545794,-0.663088,-0.002415
1,621.189924,1632.933021,-0.66429,-0.002415
2,621.972984,1632.318364,-0.666693,-0.002415
3,622.754565,1631.701827,-0.669097,-0.002415
4,623.534661,1631.083412,-0.671501,-0.002415
5,624.313269,1630.463125,-0.673904,-0.002415
6,625.090384,1629.840968,-0.676308,-0.002415
7,625.866001,1629.216944,-0.678712,-0.002415
8,626.640115,1628.591059,-0.681115,-0.002415
9,627.412723,1627.963314,-0.683519,-0.002415
10,628.18382,1627.333714,-0.685923,-0.002415
11,628.953402,1626.702262,-0.688326,-0.002415
12,629.721463,1626.068963,-0.69073,-0.002415
13,630.488,1625.433819,-0.693134,-0.002415
14,631.253008,1624.796834,-0.695537,-0.002415
15,632.016483,1624.158013,-0.697941,-0.002415
16,632.77842,1623.517358,-0.700316,-0.002358
17,633.538851,1622.874917,-0.701858,-0.00074
18,634.298809,1622.231915,-0.702227,-0.0
19,635.058767,1621.588913,-0.702227,-0.0
