# Scene: scene-0916
# Description: Parking lot, bicycle rack, parked bicycles, bus, many peds, parked scooters, parked motorcycle
# Num samples: 41
# Format:
#   FRAME timestamp ego_x ego_y ego_yaw
#   BOX x1 y1 x2 y2 x3 y3 x4 y4 minZ maxZ instance_token category
#   ENDFRAME

FRAME 1538984233.547259 715.686012 1810.047300 -1.295031
BOX 696.332489 1798.132805 697.689227 1799.408071 694.317511 1802.995195 692.960773 1801.719929 -0.129000 1.459000 34daad97663c4e8ea00f842adc581ab5 vehicle.car
BOX 684.224931 1782.101225 685.511341 1783.277320 682.151069 1786.952775 680.864659 1785.776680 -0.810500 0.878500 ca5b3ca5aea745ee8fe12b0f74d77f8e vehicle.car
BOX 701.848361 1812.390226 700.419659 1811.055747 703.903639 1807.325774 705.332341 1808.660253 0.003500 1.648500 6dafc154a9ef43ff8fd680620dc90433 vehicle.car
BOX 707.594916 1782.545131 707.227951 1782.998149 706.851084 1782.692869 707.218049 1782.239851 0.036000 1.716000 4591a9f392774001a2cf523286505ac9 human.pedestrian.adult
BOX 694.799625 1819.595928 693.378974 1818.172596 697.030375 1814.528072 698.451026 1815.951404 0.293500 2.272500 e2878e5b8aa849a18e39baee3f3440bd vehicle.car
BOX 693.330430 1792.648298 692.097928 1791.486156 695.249570 1788.143702 696.482072 1789.305844 -0.482500 1.006500 11a08ff383a6451bbda6b9af56cfa6e2 vehicle.car
BOX 710.956260 1782.784598 710.600531 1783.311810 710.119740 1782.987402 710.475469 1782.460190 -0.000500 1.696500 c8fcea5cd6d344e69a92241622f58be7 human.pedestrian.adult
BOX 666.680609 1820.444080 665.504152 1819.222457 669.093391 1815.765920 670.269848 1816.987543 0.811000 2.415000 0cfdfb5bbe8a41268271e24f2edefb9c vehicle.car
BOX 737.601347 1805.072686 738.116237 1804.879326 738.760653 1806.595314 738.245763 1806.788674 0.339000 1.549000 b8bbb0f8ce61468e93ff1d18c06ee663 vehicle.bicycle
BOX 712.963260 1784.662598 712.607531 1785.189810 712.126740 1784.865402 712.482469 1784.338190 0.226500 1.507500 cb5fdffa966345cdb9c7c186143b7857 human.pedestrian.adult
BOX 688.116344 1807.199811 689.445293 1808.492564 685.945656 1812.090189 684.616707 1810.797436 0.399000 2.399000 65acd0cbce474d9cb2eef362a1b279be vehicle.car
BOX 699.894344 1814.473287 698.309983 1812.993414 701.723656 1809.338713 703.308017 1810.818586 0.084500 1.915500 a9916751b03c494dafa2eddc4496e702 vehicle.car
BOX 698.403697 1816.096763 696.937724 1814.727471 700.190303 1811.245237 701.656276 1812.614529 0.208000 1.756000 bbe3bc5ca1434a2ea802f5ed5062785e vehicle.car
BOX 687.663328 1781.770059 686.562023 1780.612159 689.680672 1777.645941 690.781977 1778.803841 -1.135500 0.349500 6786acf4f6b644639d550c608785320f vehicle.car
BOX 704.907751 1809.777572 703.233994 1808.213214 707.188249 1803.982428 708.862006 1805.546786 -0.041500 2.939500 7a770e392a814e7aa80e6eb74dfa91ef vehicle.truck
BOX 714.158260 1784.021598 713.802531 1784.548810 713.321740 1784.224402 713.677469 1783.697190 0.063500 1.848500 de7bc639112c40ec9ebe406673f1487d human.pedestrian.adult
BOX 725.977020 1792.615393 725.257227 1792.194140 725.826980 1791.220607 726.546773 1791.641860 -0.011000 1.621000 c2c271c1bc484bce81639bfda2083588 human.pedestrian.adult
BOX 693.937726 1780.798771 694.624780 1780.540483 694.912274 1781.305229 694.225220 1781.563517 -0.602500 1.204500 af7483c35ffa4ad193d14bbac3b0ab4e human.pedestrian.adult
BOX 711.249380 1785.454823 710.709627 1785.118426 711.166620 1784.385177 711.706373 1784.721574 0.126500 1.963500 ebcd168fd25247f68482853796c9327f human.pedestrian.adult
BOX 713.463994 1785.005627 713.081160 1785.513499 712.618006 1785.164373 713.000840 1784.656501 0.076500 1.357500 9256b7cc27954e7bb5e3a3fb8c62474c human.pedestrian.adult
